Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
3	1	C:\Hannah's FYP\Black2_smi.jpg		1	forehead		1	111	1216	1	0
3	2	C:\Hannah's FYP\White15_smi.jpg		2	eyes		1	221	534	1	0
3	3	C:\Hannah's FYP\White45_smi.jpg		2	nose		2	232	289	1	1
3	4	C:\Hannah's FYP\Black41_smi.jpg		1	nose		2	132	439	1	1
3	5	C:\Hannah's FYP\White38_smi.jpg		2	eyes		2	222	422	1	1
3	6	C:\Hannah's FYP\Black48_smi.jpg		1	nose		2	132	414	2	0
3	7	C:\Hannah's FYP\White13_smi.jpg		2	eyes		1	221	422	2	1
3	8	C:\Hannah's FYP\Black42_smi.jpg		1	nose		2	132	526	1	1
3	9	C:\Hannah's FYP\Black24_smi.jpg		1	nose		1	131	841	2	1
3	10	C:\Hannah's FYP\White25_smi.jpg		2	forehead		2	212	375	1	1
3	11	C:\Hannah's FYP\White24_smi.jpg		2	nose		1	231	1073	1	0
3	12	C:\Hannah's FYP\White46_smi.jpg		2	nose		2	232	398	1	1
3	13	C:\Hannah's FYP\Black18_smi.jpg		1	nose		1	131	391	1	0
3	14	C:\Hannah's FYP\Black21_smi.jpg		1	nose		1	131	1200	1	0
3	15	C:\Hannah's FYP\White3_smi.jpg		2	forehead		1	211	302	2	1
3	16	C:\Hannah's FYP\Black8_smi.jpg		1	forehead		1	111	595	2	1
3	17	C:\Hannah's FYP\White12_smi.jpg		2	eyes		1	221	2172	1	0
3	18	C:\Hannah's FYP\Black12_smi.jpg		1	eyes		1	121	568	2	1
3	19	C:\Hannah's FYP\Black7_smi.jpg		1	forehead		1	111	385	2	1
3	20	C:\Hannah's FYP\White21_smi.jpg		2	nose		1	231	322	2	1
3	21	C:\Hannah's FYP\Black43_smi.jpg		1	nose		2	132	702	1	1
3	22	C:\Hannah's FYP\White14_smi.jpg		2	eyes		1	221	930	2	1
3	23	C:\Hannah's FYP\White41_smi.jpg		2	nose		2	232	460	1	1
3	24	C:\Hannah's FYP\White9_smi.jpg		2	eyes		1	221	907	2	1
3	25	C:\Hannah's FYP\White8_smi.jpg		2	forehead		1	211	574	2	1
3	26	C:\Hannah's FYP\Black27_smi.jpg		1	forehead		2	112	815	1	1
3	27	C:\Hannah's FYP\White20_smi.jpg		2	nose		1	231	990	1	0
3	28	C:\Hannah's FYP\White6_smi.jpg		2	forehead		1	211	893	1	0
3	29	C:\Hannah's FYP\Black45_smi.jpg		1	nose		2	132	240	2	0
3	30	C:\Hannah's FYP\White34_smi.jpg		2	eyes		2	222	457	1	1
3	31	C:\Hannah's FYP\White11_smi.jpg		2	eyes		1	221	1175	1	0
3	32	C:\Hannah's FYP\Black36_smi.jpg		1	eyes		2	122	1110	1	1
3	33	C:\Hannah's FYP\White42_smi.jpg		2	nose		2	232	473	1	1
3	34	C:\Hannah's FYP\Black3_smi.jpg		1	forehead		1	111	799	2	1
3	35	C:\Hannah's FYP\White26_smi.jpg		2	forehead		2	212	439	1	1
3	36	C:\Hannah's FYP\Black14_smi.jpg		1	eyes		1	121	758	2	1
3	37	C:\Hannah's FYP\Black33_smi.jpg		1	eyes		2	122	1120	1	1
3	38	C:\Hannah's FYP\White43_smi.jpg		2	nose		2	232	450	1	1
3	39	C:\Hannah's FYP\Black40_smi.jpg		1	eyes		2	122	440	1	1
3	40	C:\Hannah's FYP\Black16_smi.jpg		1	eyes		1	121	1519	2	1
3	41	C:\Hannah's FYP\Black19_smi.jpg		1	nose		1	131	1072	2	1
3	42	C:\Hannah's FYP\White19_smi.jpg		2	nose		1	231	860	2	1
